[2017-01-20 16:13:37.193] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:13:54.508] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:13:54.590] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:13:55.241] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:13:55.304] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:14:12.786] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:14:12.833] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:14:20.632] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:14:47.404] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:14:47.413] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:14:56.921] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:15:16.311] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:16:24.718] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:16:25.319] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:16:25.380] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:16:29.473] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:17:28.030] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:17:34.631] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:17:34.644] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:17:37.982] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:18:08.135] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:18:08.808] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:18:08.876] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:18:13.006] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:18:42.352] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:18:59.984] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:19:00.570] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:19:00.633] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:19:04.159] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:19:46.449] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:19:47.063] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:19:47.120] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:19:50.766] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:08.451] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:08.522] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:09.206] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:09.277] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:14.173] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:30.610] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:30.692] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:31.266] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:31.338] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:20:35.192] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:21:37.642] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:21:37.733] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:21:38.364] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:21:38.423] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:21:57.269] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:21:57.357] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:21:58.151] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:21:58.223] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:22:01.590] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:23:31.070] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:24:16.980] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:07.433] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:07.521] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:08.021] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:08.084] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:52.469] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:52.549] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:53.194] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:53.254] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:25:57.300] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:02.959] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:03.050] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:03.684] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:03.754] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:06.757] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:31.827] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:32.357] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:32.413] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:35.620] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
[2017-01-20 16:27:49.263] [INFO] ZHFETCH - { clientIp: '::1', clientIpRoutable: false }
